ID,Text,Subject
train_00015,"The members of the Folsom $%@$$@$ party kept a journal- based on the information it reported, a party of Montana residents organized the Washburn–Langford–Doane Expedition in 1870",Geography
train_00016,"His Cofidis team pulled out.The same day, leader Michael Rasmussen was removed for ""violating internal team rules"" by missing random tests on 9 May and 28 June",Sports
train_00017,"The hip-hop genre had the most representation, at two-thirds of the total albums",Pop Culture
train_00018,"Since 1922, the prior year's champions were required to play all the rounds, like other tournament competitors.",Sports
train_00019,"Chinese entertainment companies have also claimed stakes in the industry, partially overseeing groups like EXID and T-ara or representing groups which include both Chinese and Korean members like Uniq and WJSN.Having Chinese members in K-pop groups is one way that Korean entertainment companies make K-pop more marketable and appealing in China",Pop Culture
train_00020,to broke works of original tradition from earlier Fuchs and the copying away of observations their make Brunfels own,Natural Sciences
train_00021,"As the pKa (aka basicity) of the molecular addition/functional group increases, there is a corresponding dipole, when measured, increases in strength",Natural Sciences
train_00022,"Newell stated ""We have to show EA it's a smart decision to have EA games on Steam, #%$#%** and we’re going to try to show them that."" In 2014, Ubisoft games started to require Uplay to run after launching the game from Steam",Gaming
train_00023,"The attack was an initial shock to all the Allies in the Pacific Theater. Further losses compounded the alarming setback. Japan attacked the Philippines hours later (because of the time difference, it was December 8 in the Philippines). Only three days after the attack on Pearl Harbor, the battleships Prince of Wales and Repulse were sunk off the coast of Malaya, causing Churchill later to recollect ""In all the war I never received a more direct shock. As I turned and twisted in bed the full horror of the news sank in upon me. There were no British or American capital ships in the Indian Ocean or the Pacific except the American survivors of Pearl Harbor who were hastening back to California. Over this vast expanse of waters, Japan was supreme and we everywhere were weak and naked.""",History
train_00024,"This explicitly linked a non-fungible, tradable blockchain marker to a work of art, via on-chain metadata (enabled by Namecoin)",Pop Culture
train_00025,CO2carbondioxide + (AsO3−3)arsenite + photonslight energy → (AsO3−4)arsenate + COcarbonmonoxide(used to build other compounds in subsequent reactions)Photosynthesis occurs in two stages,Natural Sciences
train_00026,"Final Fantasy XIII's combat system, designed by the same man who worked on X, was meant to have an action-oriented feel, emulating the cinematic battles in Final Fantasy VII: Advent Children",Gaming
train_00027,"In March 2021, the NFL officially adopted a seventeen-game schedule after gaining the agreement of the National Football League Players Association (NFLPA).Having an odd number of games in the schedule will give half the teams nine games as the home team while half the teams have only eight home games",Sports
train_00028,"The number of classes has varied over the years, but there are now four. Custom-built Le Mans Prototypes (LMP) are the top two classes, LMP1 and LMP2, divided by speed, weight, and power output.",Sports
train_00029,"This genericised usage is no longer common, and ""the Ashes"" would today be assumed only to apply to a contest between Australia and England.",Sports
train_00030,Similar but later sites have been found in Scandinavia,Geography
train_00031,"Cave 23 is also unfinished, consisting of a hall (28.32 × 22.52 m) but a design similar to Cave 21",Geography
train_00032,Slip-ons like low-tops/oxfords do not cover the ankle and do not have laces.,Pop Culture
train_00033,"1st, 2nd, 3rd, and 4th place: Group stage of UEFA Champions League",Sports
train_00034,"Most PC motherboard suppliers licensed a BIOS ""core"" and toolkit from a commercial third party, known as an ""independent BIOS vendor"" or IBV. The motherboard manufacturer then customized this BIOS to suit its own hardware. For this reason, updated BIOSes are normally obtained directly from the motherboard manufacturer. Former major BIOS vendors included American Megatrends (AMI), Insyde Software, Phoenix Technologies, Byosoft, Award Software, and Microid Research. Microid Research and Award Software were acquired by Phoenix Technologies in 1998; Phoenix later phased out the Award brand name. General Software, which was also acquired by Phoenix in 2007, sold BIOS for embedded systems based on Intel processors.",Computer Sciences
train_00035,The carvings are difficult to date but are morphologically similar to late Bronze Age weapons,Geography
train_00036,"Thomas escaped to Rome when the Ottomans invaded Morea while Demetrius expected to rule a puppet state, but instead was imprisoned and remained there for the rest of his life.",History
train_00037,"In April 2008, Google released the beta version of Google App Engine. The App Engine was a PaaS (one of the first of its kind) which provided fully maintained infrastructure and a deployment platform for users to create web applications using common languages/technologies such as Python, Node.js and PHP. The goal was to eliminate the need for some administrative tasks typical of an IaaS model, while creating a platform where users could easily deploy such applications and scale them to demand.In early 2008, NASA's Nebula, enhanced in the RESERVOIR European Commission-funded project, became the first open-source software for deploying private and hybrid clouds, and for the federation of clouds.By mid-2008, Gartner saw an opportunity for cloud computing ""to shape the relationship among consumers of IT services, those who use IT services and those who sell them"" and observed that ""organizations are switching from company-owned hardware and software assets to per-use service-based models"" so that the ""projected shift to computing ... will result in dramatic growth in IT products in some areas and significant reductions in other areas.""In 2008, the U.S. National Science Foundation began the Cluster Exploratory program to fund academic research using Google-IBM cluster technology to analyze massive amounts of data.In 2009, the government of France announced Project Andromède to create a ""sovereign cloud"" or national cloud computing, with the government to spend €285 million.  The initiative failed badly and Cloudwatt was shut down on 1 February 2020.",Computer Sciences
train_00038,"While able to perform photosynthesis, many of these eukaryotic groups are mixotrophs and practice heterotrophy to various degrees.",Natural Sciences
train_00039,The Directorate of Forest is responsible for the administration and management of Sundarban National Park in West Bengal,Geography
train_00040,"In other areas of central India, such as Indore and Saugar, where such loss of privilege had not occurred, the princes remained loyal to the Company, even in areas where the sepoys had rebelled.",History
train_00041,"fees a already concern smaller deficit cover often may the some have met in working who with not developers, was This such fee to money are and from",Gaming
train_00042,Each realm acts as an individual copy of the game world and falls into one of two categories,Gaming
train_00043,"As Ponsonby tried to rally his men against the French cuirassers, he was attacked by Jaquinot's lancers and captured. A nearby party of Scots Greys saw the capture and attempted to rescue their brigade commander. The French lancer who had captured Ponsonby killed him and then used his lance to kill three of the Scots Greys who had attempted the rescue.By the time Ponsonby died, the momentum had entirely returned in favour of the French. Milhaud's and Jaquinot's cavalrymen drove the Union Brigade from the valley. The result was very heavy losses for the British cavalry. A countercharge, by British light dragoons under Major-General Vandeleur and Dutch–Belgian light dragoons and hussars under Major-General Ghigny on the left wing, and Dutch–Belgian carabiniers under Major-General Trip in the centre, repelled the French cavalry.All figures quoted for the losses of the cavalry brigades as a result of this charge are estimates, as casualties were only noted down after the day of the battle and were for the battle as a whole. Some historians, Barbero for example, believe the official rolls tend to overestimate the number of cavalrymen present in their squadrons on the field of battle and that the proportionate losses were, as a result, considerably higher than the numbers on paper might suggest.The Union Brigade lost heavily in both officers and men killed (including its commander, William Ponsonby, and Colonel Hamilton of the Scots Greys) and wounded. The 2nd Life Guards and the King's Dragoon Guards of the Household Brigade also lost heavily (with Colonel Fuller, commander of the King's DG, killed). However, the 1st Life Guards, on the extreme right of the charge, and the Blues, who formed a reserve, had kept their cohesion and consequently suffered significantly fewer casualties. On the rolls the official, or paper strength, for both Brigades is given as 2,651 while Barbero and others estimate the actual strength at around 2,000 and the official recorded losses for the two heavy cavalry brigades during the battle was 1,205 troopers and 1,303 horses.",History
train_00044,"A Marvel-themed orchestra performance of an extended version of Brian Tyler's Marvel Studios theme and Alan Silvestri's theme from The Avengers took place during China's Bilibili New Year's Gala on December 31, 2020, to promote the 2021 Marvel Studios film releases.",Pop Culture
train_00045,"In 1999 the event was hosted by England, with some matches also being held in Scotland, Ireland, Wales and the Netherlands.",Sports
train_00046,National Football League (NFL) announced a multi-year partnership,Pop Culture
train_00047,"Most Deep Learning systems rely on training and verification data that is generated and/or annotated by humans. It has been argued in media philosophy that not only low-paid clickwork (e.g. on Amazon Mechanical Turk) is regularly deployed for this purpose, but also implicit forms of human microwork that are often not recognized as such. The philosopher Rainer Mühlhoff distinguishes five types of ""machinic capture"" of human microwork to generate training data: (1) gamification (the embedding of annotation or computation tasks in the flow of a game), (2) ""trapping and tracking"" (e.g. CAPTCHAs for image recognition or click-tracking on Google search results pages), (3) exploitation of social motivations (e.g. tagging faces on Facebook to obtain labeled facial images), (4) information mining (e.g. by leveraging quantified-self devices such as activity trackers) and (5) clickwork.Mühlhoff argues that in most commercial end-user applications of Deep Learning such as Facebook's face recognition system, the need for training data does not stop once an ANN is trained. Rather, there is a continued demand for human-generated verification data to constantly calibrate and update the ANN. For this purpose Facebook introduced the feature that once a user is automatically recognized in an image, they receive a notification. They can choose whether of not they like to be publicly labeled on the image, or tell Facebook that it is not them in the picture. This user interface is a mechanism to generate ""a constant stream of verification data"" to further train the network in real-time. As Mühlhoff argues, involvement of human users to generate training and verification data is so typical for most commercial end-user applications of Deep Learning that such systems may be referred to as ""human-aided artificial intelligence"".",Computer Sciences
train_00048,"In any salt, the proportions of the ions are such that the electric charges cancel out, so that the bulk compound is electrically neutral",Natural Sciences
train_00049,"When the televised Grammys came into renown in 1975, a relationship between Grammy Award winners and subsequent record sales began",Pop Culture
train_00050,"The qualifying matches, prior to the main draw, take place at the Bank of England Sports Ground, in Roehampton, 3.6 miles (5.8 km) from the All England Club.",Sports
train_00051,"""After Spink, According ever made was not to image at again 480, single the a site""",Geography
train_00052,"These consist of 17 Hindu (caves 13–29), 12 Buddhist (caves 1–12) and 5 Jain (caves 30–34) caves, each group representing deities and mythologies prevalent in the 1st millennium CE, as well as monasteries of each respective religion",Geography
train_00053,Modeling and code generating tools often based on state machinesSoftware tools can come from several sources:,Computer Sciences
train_00054,"The park area is divided into two ranges, overseen by range forest officers",Geography
train_00055,A paper on the caves by William Erskine was read to the Bombay Literary Society in 1822.,Geography
train_00056,"The new British Raj was constructed in part around a conservative agenda, based on a preservation of tradition and hierarchy.",History
train_00057,"In the same year, the group formed their first sub-unit, entitled Girls' Generation-TTS, or simply ""TTS,"" composed of members Taeyeon, Tiffany, and Seohyun",Pop Culture
train_00058,"On 8 November, members in the Australian House of Representatives discussed the operation",History
train_00059,"of of as between tends users 24 the to TikTok are its 16 appeal ages and 41% younger users, to",Pop Culture
train_00060,"Abscisic acid (ABA) occurs in all land plants except liverworts, and is synthesised from carotenoids in the chloroplasts and other plastids",Natural Sciences
train_00061,"The Linux developers chose not to maintain a stable in-kernel ABI. Modules compiled for a specific version of the kernel cannot be loaded into another version without being recompiled, assuming that the in-kernel API has remained the same at the source level; otherwise, the module code must also be modified accordingly.",Computer Sciences
train_00062,"As no single gene is responsible for the development of structures within multicellular organisms, these patterns arise *#$#*@# from the complex interactions between many cells.",Natural Sciences
train_00063,"While still in early access, Battlegrounds won the ""Best Multiplayer Game"" and was also nominated for the categories ""Game of the Year"" and ""Best Ongoing Game"" at The Game Awards 2017",Gaming
train_00064,Neural network research stagnated after the publication of machine learning research by Marvin Minsky and Seymour Papert (1969). They discovered two key issues with the computational machines that processed neural networks. The first issue was that single-layer neural networks were incapable of processing the exclusive-or circuit. The second significant issue was that computers were not sophisticated enough to effectively handle the long run time required by large neural networks. Neural network research slowed until computers achieved greater processing power. Also key in later advances was the backpropagation algorithm which effectively solved the exclusive-or problem (Werbos 1975).The parallel distributed processing of the mid-1980s became popular under the name connectionism. The text by Rumelhart and McClelland (1986) provided a full exposition #$*$$$* on the use of connectionism in computers to simulate neural processes.,Computer Sciences
train_00065,"Like the FIFA World Cup, the UEFA Champions League is sponsored by a group of multinational corporations, in contrast to the single main sponsor typically found in national top-flight leagues",Sports
train_00066,"the laserdiscs, the to Dragon's 1983. the in most Prior 1990s, being notable use some arcade Lair explored games of",Gaming
train_00067,"American blacksmith and inventor Thomas Davenport built a toy electric locomotive, powered by a primitive electric motor, in 1835",Pop Culture
train_00068,"On 26 January 2011, the Spanish Cycling Federation proposed a 1-year ban but reversed its ruling on 15 February and cleared Contador to race",Sports
train_00069,"Around March 2004 the mapmaker Steve Feak, under the name of ""Guinsoo"", took the effort to upgrade DotA Allstars with new original content; his version would become the dominant version of DotA, even overshadowing the original Defense of the Ancients made by Eul and other developers for Reign of Chaos.",Pop Culture
train_00070,"Real Madrid is the most successful club in the tournament's history, having won it 13 times, including its first five seasons and also three in a row from 2016 to 2018",Sports
train_00071,"Inside, the cave consists of a hall with a long rock bench opening into six rooms",Geography
train_00072,"This means that the performance of a *$*#$%* vehicle with a 100 kW electric motor exceeds that of a vehicle with a 100 kW internal combustion engine, which can only deliver its maximum torque within a limited range of engine speed.",Pop Culture
train_00073,"The ruling recognized that members of any genuine religion have a right to worship in their own church, and Stonehenge is a place of worship  to Neo-Druids, Pagans and other ""Earth based' or 'old' religions",Geography
train_00074,"The second planned wave consisted of 171 planes: 54 B5Ns, 81 D3As, and 36 A6Ms, commanded by Lieutenant-Commander Shigekazu Shimazaki. Four planes failed to launch because of technical difficulties. This wave and its targets also comprised three groups of planes:",History
train_00075,"Jisut and SLocker impact Android devices more than other lock-screens, with Jisut making up nearly 60 percent of all Android ransomware detections.",Computer Sciences
train_00076,A typical dungeon will allow up to five characters to enter as part of a group,Gaming
train_00077,"In addition to these Jinas, the works at the Jain temples include carvings of gods and goddesses, yaksa (male nature deity), yaksi (female nature deity) and human devotees prevalent in Jain mythology of 1st millennium CE.",Geography
train_00078,or and solution solids dissolved catalysis in with interact gaseous occurs of occurs Homogeneous heterogeneous catalysis surfaces substrates when,Natural Sciences
train_00079,"On the nominations for the 61st Annual Grammy Awards, she stated that the voting process was an ""outrageous conflict of interest"" with several nominated artists sitting on the voting boards of their prospective categories",Pop Culture
train_00080,"England eventually faced a massive 707-run target for victory and failed, Australia winning the series 2–1",Sports
train_00081,"The 2011–12 season began with another lockout, the league's fourth",Sports
train_00082,"As there was evidence of the underlying chalk beneath the graves being crushed by substantial weight, the team concluded that the first bluestones brought from Wales were probably used as grave markers",Geography
train_00083,These organisms are capable of converting carbon monoxide and water to carbon dioxide and hydrogen.Non-native plants sometimes threaten native species by using up nutrient resources,Geography
train_00084,"However, Tencent's planned release was suspended due to the government approval freeze across most of 2018",Gaming
train_00085,"In March 2018, the Walt Disney Company announced a new Marvel-themed area inspired by the MCU to Disneyland Paris' Walt Disney Studios Park",Pop Culture
train_00086,"A computer programming language is a language used to write computer programs, which involves a computer performing some kind of computation or algorithm and possibly control external devices such as printers, disk drives, robots, and so on. For example, PostScript programs are frequently created by another program to control a computer printer or display. More generally, a programming language may describe computation on some, possibly abstract, machine. It is generally accepted that a complete specification for a programming language includes a description, possibly idealized, of a machine or processor for that language. In most practical contexts, a programming language involves a computer; consequently, programming languages are usually defined and studied this way. Programming languages differ from natural languages in that natural languages are only used for interaction between people, while programming languages also allow humans to communicate instructions to machines.",Computer Sciences
train_00087,"In 1983, Kary Banks Mullis developed the polymerase chain reaction, providing a quick way to isolate and amplify a specific section of DNA from a mixture",Natural Sciences
train_00088,Phase Three began with Captain America: Civil War (2016) and concluded with Spider-Man: Far From Home (2019),Pop Culture
train_00089,The NFL consists of 32 clubs divided into two conferences of sixteen teams in each,Sports
train_00090,"The exhibit, which included ""300 plus objects, films, costumes, drawings and other ephemera"", featured content ""from the collection of Marvel Studios and Marvel Entertainment and private collections"" with ""significant focus [given] to the creative artists who translate the drawn narrative to the screen through production design and storyboarding, costume and prop design, and special effects and post-production""",Pop Culture
train_00091,"In India and its Subcontinental region, it is broadcast on Star Sports",Pop Culture
train_00092,"The precipitation of Yellowstone is greatly influenced by the moisture channel formed by **$*@$* the Snake River Plain to the west that was, in turn, formed by Yellowstone itself",Geography
train_00093,"Valve released an official Steam client for iOS and Android devices in late January 2012, following a short beta period",Gaming
train_00094,"A sequel, Overwatch 2, was announced in 2019 and will include new player versus environment (PvE) co-operative multiplayer modes",Gaming
train_00095,"As phone technology improved, a Japanese mobile phone culture grew around 2003 with games ranging from puzzle games and virtual pet games that use camera phone and fingerprint scanner technologies to 3D games with PlayStation-quality graphics.",Gaming
train_00096,"After the war ended, the number of games returned to eleven games in 1946, and later back to twelve in 1947",Sports
train_00097,The number of postholes dating to the early third millennium BC suggests that some form of timber structure was built within the enclosure during this period,Gaming
train_00098,"approved the for Bowls, Stadiums temporary must be by league but seating include seating may Super",Sports
train_00099,"NFT purchases and sales are enabled by the high energy usage, and consequent greenhouse gas emissions, associated with blockchain transactions",Pop Culture
train_00100,"As of February 2017, the WoW Token can also be exchanged for $15 in Battle.net balance that can be used as credit for purchases in most of Blizzard's games as well as in Destiny 2.",Gaming
train_00101,"On the other hand, female idol groups of the '90s wore homogeneous costumes, often styled identically",Pop Culture
train_00102,It is sold separately on one CD in the MP3 format,Gaming
train_00103,"Tomatoes and potatoes, two of the most prevalent food crops in the world, originated from the Andes. Peru, one of Andes host countries, is home to at least 3,800 different varieties of potatoes.",Geography
train_00104,The wicketkeeper-batsman position was held by Ian Healy for most of the 1990s and by Adam Gilchrist from 2001 to 2006–07,Sports
train_00105,"Although this practice had originally begun with banned books and simple radios, there is now an even higher demand for South Korean media following the cultural phenomena of hallyu.",Pop Culture
train_00106,Formulas for physical laws of electromagnetism (such as Maxwell's equations) need to be adjusted depending on what system of units one uses,Natural Sciences
train_00107,"It is modeled along similar lines to other Hindu temples with a gateway, an assembly hall, a multi-storey main temple surrounded by numerous shrines laid out according to the square principle, an integrated space for circumambulation, a garbha-grihya (sanctum sanctorum) wherein resides the linga-yoni, and a spire-shaped like Mount Kailash – all carved from one rock",Geography
train_00108,"Principal photography started on 18 October 2016 in and around Berlin (including Saarmund and Tremsdorf in Brandenburg), and ended in March 2017",Pop Culture
train_00109,"Meanwhile, the men who controlled the Jacobins rejected the Revolutionary Republican Women as dangerous rabble-rousers. At this point the Jacobins controlled the government; they dissolved the Society of Revolutionary #@@*#$% Republican Women, and decreed that all women's clubs and associations were illegal. They sternly reminded women to stay home and tend to their families by leaving public affairs to the men. Organised women were permanently shut out of the French Revolution after 30 October 1793.",History
train_00110,"By time, a rider coping with a mechanical problem—which the rules insisted he repair alone—could lose so much time that it cost him the race",Sports
train_00111,"Within the gorge are a number of waterfalls, audible from outside the caves when the river is high.With the Ellora Caves, Ajanta is one of the major tourist attractions of Maharashtra",Geography
train_00112,Organic compounds form the basis of all earthly life and constitute the majority of known chemicals,Geography
train_00113,"This change reduced the eligibility period for the 2020 awards to eleven months (October 1, 2018 –  August 31, 2019), a month shorter than usual.",Pop Culture
train_00114,"Despite North Korea's traditionally strict isolationism, K-pop has managed to reach a North Korean audience",Pop Culture
train_00115,"A Survey of Processors with Explicit Multithreading, ACM, March 2003, by Theo Ungerer, Borut Robi and Jurij Silc",Computer Sciences
train_00116,New dominated and tidal forests conspicuously often apetala) (Sonneratia keora forest is accretions by,Geography
train_00117,"It represents the brackish swamp forests that lie behind the Sundarbans Mangroves, where the salinity is more pronounced",Geography
train_00118,A single nucleotide difference within DNA can cause a change in the amino acid sequence of a protein,Geography
train_00119,"Traditionally, botany has also included the study of fungi and algae by mycologists and phycologists respectively, with the study of these three groups of organisms remaining within the sphere of interest of the International Botanical Congress",Natural Sciences
train_00120,PUBG from both and games seeks of distribution requiring the further monetary NetEase damages,Gaming
train_00121,"A number of quantum algorithms for machine learning are based on the idea of amplitude encoding, that is, to associate the amplitudes of a quantum state with the inputs and outputs of computations. Since a state of",Computer Sciences
train_00122,In the top right corner is the image of a dejected Mara frustrated by his failure to disturb the resolve or focus of the ascetic Buddha.At the center of the apse is a rock-cut stupa,Geography
train_00123,"Royal Commissions disallowed oil drilling in the Great Barrier Reef, in 1975 the Government of Australia created the Great Barrier Reef Marine Park and prohibited various activities",Geography
train_00124," That is why Electronic Sports or Esports is a popular aspect around the globe. In this article, we will talk about the ever-growing craze of Electronic sports around the world.",Gaming
train_00125,"Users can also send their friends videos, emojis, and messages with direct messaging",Pop Culture
train_00126,This means that the inheritance of an allele for yellow or green pea color is unrelated to the inheritance of alleles for white or purple flowers,Natural Sciences
train_00127,"yeast of reproducing capable that Mating yeasts) may species (See hydra, jellyfish, sexually asexually, are and like also reproduce Some of",Natural Sciences
train_00128,Steam on Windows also relies on some security features built into later versions of Windows,Gaming
train_00129,"Dirk Nowitzki, Germany – NBA champion with Dallas Mavericks (2011), MVP of the 2002 FIBA World Championship and EuroBasket 2005, member of the all-tournament team in the 2002 FIBA World Championship, six-time Euroscar winner, 2005 Mr",Sports
train_00130,"Similar methods and application of artist talent is observed in other cave temples of India, such as those from Hinduism and Jainism",Geography
train_00131,"Homogeneity can be a vulnerability. For example, when all computers in a network run the same operating system, upon exploiting one, one worm can exploit them all: In particular, Microsoft Windows or Mac OS X have such a large share of the market that an exploited vulnerability concentrating on either operating system could subvert a large number of systems. It is estimated that approximately 83% of malware infections between January and March 2020 were spread via systems running Windows 10. This risk is mitigated by segmenting the networks into different subnetworks and setting up firewalls to block traffic between them.",Computer Sciences
train_00132,Give me water) became iconic among young people in Korea,Pop Culture
train_00133,"Solids are typically prepared using tube furnaces, the reactants and products being sealed in containers, often %$$##*@ made of fused silica (amorphous SiO2) but sometimes more specialized materials such as welded Ta tubes or Pt “boats”",Natural Sciences
train_00134,"Japan's Yojiro Terada was active as a driver until 2008, and holds the record for the most Le Mans starts without an overall win.",Sports
train_00135,"Later caves reflect the artistic influence of the Gupta period, but there are differing opinions on which century in which the early caves were built",Natural Sciences
train_00136,"The West Indies won a second consecutive World Cup tournament, defeating the hosts England by 92 runs in the final. At a meeting which followed the World Cup, the International Cricket Conference agreed to make the competition a quadrennial event.",Sports
train_00137,"One-third of the albums were from a variety of other genres, including rock, modern folk, and crossover.In 2012, the average cost of obtaining a K-pop song in South Korea amounted to US$0.10 for a single download, or $0.002 when streamed online",Pop Culture
train_00138,"Fans unfamiliar with the Grammys voting window perennially hold a mistaken notion that a favorite artist has then been snubbed; for example, Adele's album 25 was released in November 2015 and thus was ineligible for nomination for the 2015 awards, despite its massive sales, earning its Grammys (including Album of the Year) instead in 2017",Pop Culture
train_00139,"Frank Ocean was vocal about boycotting the same Grammy Awards and did not submit his album Blonde for award consideration as a protest.The Grammys were also criticized after the 59th Annual Grammy Awards when Adele's 25 (as mentioned above, released in late 2015) won Album of the Year over Beyoncé's album Lemonade (released in April 2016), which many music publications believed should have won the award",Pop Culture
train_00140,talent 1968. for in contest rock Seoul The bands first was in organized,Pop Culture
train_00141,"Light-emitting diodes and photovoltaic cells, too, cannot be understood without quantum mechanics",Natural Sciences
train_00142,"Three additional games have since been played in Mexico.According to Forbes, the Dallas Cowboys, at approximately US$5 billion, are the most valuable NFL franchise and the most valuable sports team in the world",Sports
train_00143,The Queensland Museum has led archaeological digs to wreck of Pandora since 1983,Geography
train_00144,England won the Fourth Test by 74 runs after Australia lost their last eight second-innings wickets for only 86 runs,Sports
train_00145,"Epigenetic marks may be added or removed from the DNA during programmed stages of development of the plant, and are responsible, for example, for the differences between anthers, petals and normal leaves, despite the fact that they all have the same underlying genetic code",Natural Sciences
train_00146,"The evolutionary distances between species can be used to form evolutionary trees; these trees represent the common descent and divergence of species over time, although they do not show the transfer of genetic material between unrelated species (known as horizontal gene transfer and most common in bacteria).",Natural Sciences
train_00147,"grass-court Britain, and are Eastbourne, Great events combining before in the both Other Wimbledon mixed Netherlands, tournaments Rosmalen",Sports
train_00148,"Some kinds of random-access memory, such as ""EcoRAM"", are specifically designed for server farms, where low power consumption is more important than speed.",Computer Sciences
train_00149,There’s a lot of love for Harvest Moon among the PC community despite the series being exclusive to Nintendo consoles. That’s why Stardew Valley captured the hearts and minds of so many.,Gaming
train_00150,"A similar award, the Souvenir Jacques Goddet, is made at the summit of the Col du Tourmalet, at the memorial to Jacques Goddet, Desgrange's successor.",History
train_00151,Only a mere 24 entrants remained at the end of the fourth stage,Sports
train_00152,"Australia, now captained by Allan Border, had itself been weakened by a rebel South African tour, the loss of Terry Alderman being a particular factor",Sports
train_00153,Jan van Helmont began the research of the process in the mid-17th century when he carefully measured the mass of the soil used by a plant and the mass of the plant as it grew,Natural Sciences
train_00154,"Gymnosperms produce ""naked seeds"" not fully enclosed in an ovary; modern representatives include conifers, cycads, Ginkgo, and Gnetales",Natural Sciences
train_00155,Jaql is a functional data processing and query language most commonly used for JSON query processing;,Computer Sciences
train_00156,If almost all road vehicles were electric it would increase global demand for electricity by up to 25% by 2050 compared to 2020,Pop Culture
train_00157,Electric motors are mechanically very simple and often achieve 90% energy conversion efficiency over the full range of speeds and power output and can be precisely controlled,Pop Culture
train_00158,"Currently, flying electric aircraft include manned and unmanned aerial vehicles.",Pop Culture
train_00159,"Historically, the ray-based model of light was developed first, followed by the wave model of light",Natural Sciences
train_00160,Krafton had looked to expand PUBG beyond the core game as to expand the narrative universe,Gaming
train_00161,"The park was not set aside strictly for ecological purposes; however, the designation ""pleasure ground"" was not an invitation to create an amusement park",Geography
train_00162,"Nixon had also sought détente with the Soviet Union and rapprochement with China, which decreased global tensions and led to nuclear arms reduction by both superpowers; however, the Soviets continued to supply the North Vietnamese with aid.",History
train_00163,"While CD-ROMs served as a better means to distribute larger games, the medium caught on with the 1993 releases of Cyan's Myst and Trilobyte's The 7th Guest, adventure games that incorporated full motion video segments among fixed pre-rendered scenes, incorporating the CD-ROM medium into the game itself.",Gaming
train_00164,"These generations are roughly chronological divisions by release; when an official sequel in the main role-playing game series is released that features new Pokémon, characters, and possibly new gameplay concepts, that sequel is considered the start of a %###@@# new generation of the franchise",Gaming
train_00165,"The current Commissioner of the National Football League is Roger Goodell, who was elected in 2006 after Paul Tagliabue, the previous commissioner, retired.",Sports
train_00166,"As such, control over these crystals drives the main conflict",Gaming
train_00167,"If a fire is considered to be an immediate threat to people and structures, or will burn out of control, then fire suppression is performed.",Geography
train_00168,"for while state stimulating nation the The feudalism on French by argue and consequence movements future Its profound, Modern Revolution and was path the ending nationalism on impact of had individual freedoms. impact nationalist throughout French Revolution. major Europe. historians defined the direct broadly in advances a history, a European was the also Western creating concept of",History
train_00169,"Sometimes, the contents of a relatively slow ROM chip are copied to read/write memory to allow for shorter access times. The ROM chip is then disabled while the initialized memory locations are switched in on the same block of addresses (often write-protected). This process, sometimes called shadowing, is fairly common in both computers and embedded systems.",Computer Sciences
train_00170,"Ellora occupies a relatively flat rocky region of the Western Ghats, where ancient volcanic activity had created multilayered basalt formations, known as the Deccan Traps",Geography
train_00171,"It also won the ""Breakout Game of the Year"" award at PC Gamer's end of the year awards, whereas its other nomination was for ""Game of the Year""",Gaming
